model_name,model_url,model_task,model_category
szamanian/sd-class-butterflies-32,https://huggingface.co/szamanian/sd-class-butterflies-32,unconditional-image-generation,computer-vision
sryu1/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/sryu1/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
klashenrik/reinforce-v1,https://huggingface.co/klashenrik/reinforce-v1,reinforcement-learning,reinforcement-learning
kadirnar/yolov6l6-v3.0,https://huggingface.co/kadirnar/yolov6l6-v3.0,object-detection,computer-vision
Jzuluaga/dummy-accent-id-commonaccent_ecapa,https://huggingface.co/Jzuluaga/dummy-accent-id-commonaccent_ecapa,audio-classification,audio
chriscelaya/chriscelaya-trained-model,https://huggingface.co/chriscelaya/chriscelaya-trained-model,text-to-image,multimodal
mallapraveen/ai_art_sd_v1.5,https://huggingface.co/mallapraveen/ai_art_sd_v1.5,text-to-image,multimodal
alexliap/reinforce_cartpole-v1,https://huggingface.co/alexliap/reinforce_cartpole-v1,reinforcement-learning,reinforcement-learning
Porridge9243/ppo-LunarLander-v2,https://huggingface.co/Porridge9243/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
cleanrl/Gravitar-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,https://huggingface.co/cleanrl/Gravitar-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,reinforcement-learning,reinforcement-learning
sd99/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/sd99/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
sd99/q-taxi-v3,https://huggingface.co/sd99/q-taxi-v3,reinforcement-learning,reinforcement-learning
Cloudfubuki/instance-name,https://huggingface.co/Cloudfubuki/instance-name,text-to-image,multimodal
jlplazar/ppo-lunarlander-v2-1,https://huggingface.co/jlplazar/ppo-lunarlander-v2-1,reinforcement-learning,reinforcement-learning
alexliap/Reinforce_pixelcopter,https://huggingface.co/alexliap/Reinforce_pixelcopter,reinforcement-learning,reinforcement-learning
Artachtron/SpaceInvaders,https://huggingface.co/Artachtron/SpaceInvaders,reinforcement-learning,reinforcement-learning
zipbomb/Reinforce-CartPole-v1,https://huggingface.co/zipbomb/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
Porridge9243/ppo-Huggy,https://huggingface.co/Porridge9243/ppo-Huggy,reinforcement-learning,reinforcement-learning
klashenrik/reinforce-pixelcopter-v1,https://huggingface.co/klashenrik/reinforce-pixelcopter-v1,reinforcement-learning,reinforcement-learning
Liphos/cartpole_reinforce,https://huggingface.co/Liphos/cartpole_reinforce,reinforcement-learning,reinforcement-learning
mikegarts/ppo-LunarLander-v2,https://huggingface.co/mikegarts/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
Liphos/Reinforce-PixelCopter,https://huggingface.co/Liphos/Reinforce-PixelCopter,reinforcement-learning,reinforcement-learning
ospeek/ppo-LunarLander-v2,https://huggingface.co/ospeek/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
Porridge9243/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/Porridge9243/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
Porridge9243/q-Taxi-v3,https://huggingface.co/Porridge9243/q-Taxi-v3,reinforcement-learning,reinforcement-learning
jentrialgo/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/jentrialgo/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
rmathur/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/rmathur/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
rmathur/Taxi-v3,https://huggingface.co/rmathur/Taxi-v3,reinforcement-learning,reinforcement-learning
ospeek/MountainCar-v0,https://huggingface.co/ospeek/MountainCar-v0,reinforcement-learning,reinforcement-learning
Falon/raiden-shogun-db,https://huggingface.co/Falon/raiden-shogun-db,text-to-image,multimodal
Ashish08/jacob-dog,https://huggingface.co/Ashish08/jacob-dog,text-to-image,multimodal
Ashish08/old-trafford-football-stadium,https://huggingface.co/Ashish08/old-trafford-football-stadium,text-to-image,multimodal
Jayahari/itz-me-bruh,https://huggingface.co/Jayahari/itz-me-bruh,text-to-image,multimodal
CoreyMorris/Reinforce-CartPole-v1-2,https://huggingface.co/CoreyMorris/Reinforce-CartPole-v1-2,reinforcement-learning,reinforcement-learning
zipbomb/Reinforce-Pixelcopter,https://huggingface.co/zipbomb/Reinforce-Pixelcopter,reinforcement-learning,reinforcement-learning
pelatho/orc-female-fangs,https://huggingface.co/pelatho/orc-female-fangs,text-to-image,multimodal
Ashish08/vada-sambhar-south-indian-dish,https://huggingface.co/Ashish08/vada-sambhar-south-indian-dish,text-to-image,multimodal
dacquaviva/focacciabarese-pizza,https://huggingface.co/dacquaviva/focacciabarese-pizza,text-to-image,multimodal
cleanrl/Hero-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,https://huggingface.co/cleanrl/Hero-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,reinforcement-learning,reinforcement-learning
blghtr/ppo-Huggy,https://huggingface.co/blghtr/ppo-Huggy,reinforcement-learning,reinforcement-learning
ospeek/ppo-Huggy,https://huggingface.co/ospeek/ppo-Huggy,reinforcement-learning,reinforcement-learning
malamasn/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/malamasn/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
Pablinsv/Reinforce-pg,https://huggingface.co/Pablinsv/Reinforce-pg,reinforcement-learning,reinforcement-learning
zigg-ai/127a20cd-e8f6-480b-9eb6-3054df20a427,https://huggingface.co/zigg-ai/127a20cd-e8f6-480b-9eb6-3054df20a427,text-to-image,multimodal
hug-face-lampros/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/hug-face-lampros/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
jentrialgo/taxi-v3,https://huggingface.co/jentrialgo/taxi-v3,reinforcement-learning,reinforcement-learning
DeathKnight/ppo-LunarLander-v2,https://huggingface.co/DeathKnight/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
zlicastro/zl-cartpole-v1,https://huggingface.co/zlicastro/zl-cartpole-v1,reinforcement-learning,reinforcement-learning
zigg-ai/9a8cdaaf-5e35-40f4-9981-647c1926846a,https://huggingface.co/zigg-ai/9a8cdaaf-5e35-40f4-9981-647c1926846a,text-to-image,multimodal
Qilex/ppo-LunarLander-v2,https://huggingface.co/Qilex/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
Ljosberg/ppo-LunarLdner-v2,https://huggingface.co/Ljosberg/ppo-LunarLdner-v2,reinforcement-learning,reinforcement-learning
jobesu/Reinforce-pendulum1,https://huggingface.co/jobesu/Reinforce-pendulum1,reinforcement-learning,reinforcement-learning
jenny07/sd-1-5-jjeenn,https://huggingface.co/jenny07/sd-1-5-jjeenn,text-to-image,multimodal
ArneL2206/Reinforce-1,https://huggingface.co/ArneL2206/Reinforce-1,reinforcement-learning,reinforcement-learning
Hatman/dqn-SpaceInvadersNoFrameskip-v,https://huggingface.co/Hatman/dqn-SpaceInvadersNoFrameskip-v,reinforcement-learning,reinforcement-learning
zigg-ai/71fb8117-8378-4736-9867-2422002d0ebc,https://huggingface.co/zigg-ai/71fb8117-8378-4736-9867-2422002d0ebc,text-to-image,multimodal
M331/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/M331/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
M331/q-Taxi-v3,https://huggingface.co/M331/q-Taxi-v3,reinforcement-learning,reinforcement-learning
nachshonc/RLunit3,https://huggingface.co/nachshonc/RLunit3,reinforcement-learning,reinforcement-learning
ashutosh1919/Reinforce-CartPole-v1,https://huggingface.co/ashutosh1919/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
Qilex/ppo-Huggy,https://huggingface.co/Qilex/ppo-Huggy,reinforcement-learning,reinforcement-learning
sd99/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/sd99/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
navygup/Mood-Tracker,https://huggingface.co/navygup/Mood-Tracker,conversational,natural-language-processing
Arch4ngel/untitled_goose-goose,https://huggingface.co/Arch4ngel/untitled_goose-goose,text-to-image,multimodal
gokuls/gokuls_rl_course,https://huggingface.co/gokuls/gokuls_rl_course,reinforcement-learning,reinforcement-learning
ArneL2206/Reinforce-2,https://huggingface.co/ArneL2206/Reinforce-2,reinforcement-learning,reinforcement-learning
jpopham91/ppo-LunarLander-v2,https://huggingface.co/jpopham91/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
cleanrl/IceHockey-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,https://huggingface.co/cleanrl/IceHockey-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,reinforcement-learning,reinforcement-learning
asp2131/COVER_TUNE,https://huggingface.co/asp2131/COVER_TUNE,text-to-image,multimodal
jrauch4/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/jrauch4/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
cresencio/sd-cresencio,https://huggingface.co/cresencio/sd-cresencio,text-to-image,multimodal
sliu/Reinforce-v1,https://huggingface.co/sliu/Reinforce-v1,reinforcement-learning,reinforcement-learning
gauthamk28/ppo-LunarLander-v2,https://huggingface.co/gauthamk28/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
eliotz/ppo-lunarlander,https://huggingface.co/eliotz/ppo-lunarlander,reinforcement-learning,reinforcement-learning
mjschock/Reinforce-CartPole0,https://huggingface.co/mjschock/Reinforce-CartPole0,reinforcement-learning,reinforcement-learning
EduardoCGarridoMerchan/SpaceInvadersNoFrameskip-v4,https://huggingface.co/EduardoCGarridoMerchan/SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
asarvazyan/ppo-LunarLander-v2,https://huggingface.co/asarvazyan/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
sdocio/es_spacy_ner_cds_trf,https://huggingface.co/sdocio/es_spacy_ner_cds_trf,token-classification,natural-language-processing
claterza/Reinforce-CartPole-v1,https://huggingface.co/claterza/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
daripaez/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/daripaez/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
Kristofer/sd-class-butterflies-32,https://huggingface.co/Kristofer/sd-class-butterflies-32,unconditional-image-generation,computer-vision
ashutosh1919/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/ashutosh1919/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
User315626/ddpm-celebahq-finetuned-butterflies-2epochs,https://huggingface.co/User315626/ddpm-celebahq-finetuned-butterflies-2epochs,unconditional-image-generation,computer-vision
Sirianth/ppo-LunarLander-v2,https://huggingface.co/Sirianth/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
Zlikwid/zlikwidv2,https://huggingface.co/Zlikwid/zlikwidv2,text-to-image,multimodal
Kristofer/sd-class-butterflies-64,https://huggingface.co/Kristofer/sd-class-butterflies-64,unconditional-image-generation,computer-vision
AxlDM124/pp-lunarLander-v2,https://huggingface.co/AxlDM124/pp-lunarLander-v2,reinforcement-learning,reinforcement-learning
noodlynoodle/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/noodlynoodle/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
zlicastro/zl-pixelcopter,https://huggingface.co/zlicastro/zl-pixelcopter,reinforcement-learning,reinforcement-learning
michaelkmccoy/dbkw,https://huggingface.co/michaelkmccoy/dbkw,text-to-image,multimodal
Iamvincent/Reinforce-CartPole8,https://huggingface.co/Iamvincent/Reinforce-CartPole8,reinforcement-learning,reinforcement-learning
dracero/carpoloVer001,https://huggingface.co/dracero/carpoloVer001,reinforcement-learning,reinforcement-learning
sliu/Reinforce-coper,https://huggingface.co/sliu/Reinforce-coper,reinforcement-learning,reinforcement-learning
WiNE-iNEFF/fine-tune_kuvshinov_64,https://huggingface.co/WiNE-iNEFF/fine-tune_kuvshinov_64,unconditional-image-generation,computer-vision
pdhrn/sd-class-butterflies-32,https://huggingface.co/pdhrn/sd-class-butterflies-32,unconditional-image-generation,computer-vision
cleanrl/PrivateEye-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,https://huggingface.co/cleanrl/PrivateEye-v5-ppo_atari_envpool_async_jax_scan_impalanet_machado-seed1,reinforcement-learning,reinforcement-learning
Wusul/shoebill,https://huggingface.co/Wusul/shoebill,text-to-image,multimodal
mjschock/Reinforce-CartPole1,https://huggingface.co/mjschock/Reinforce-CartPole1,reinforcement-learning,reinforcement-learning
danmorris427/ppo-LunarLander-v2,https://huggingface.co/danmorris427/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
tftgregrge/mpid-hassanblend-v1-5-main,https://huggingface.co/tftgregrge/mpid-hassanblend-v1-5-main,text-to-image,multimodal
claterza/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/claterza/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
jxiao/Reinforce-CartPole-v1,https://huggingface.co/jxiao/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
romzhey/sd-1-rommel,https://huggingface.co/romzhey/sd-1-rommel,text-to-image,multimodal
tftgregrge/mpid-hassanblend-v1-5-main-hard800,https://huggingface.co/tftgregrge/mpid-hassanblend-v1-5-main-hard800,text-to-image,multimodal
Iamvincent/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/Iamvincent/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
danmorris427/ppo-Huggy,https://huggingface.co/danmorris427/ppo-Huggy,reinforcement-learning,reinforcement-learning
smartbotfactory/ppo-LunarLander-v2,https://huggingface.co/smartbotfactory/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
jennysun/sd-rose-blackpink,https://huggingface.co/jennysun/sd-rose-blackpink,text-to-image,multimodal
RamAnanth1/sd-1-5-ram,https://huggingface.co/RamAnanth1/sd-1-5-ram,text-to-image,multimodal
tftgregrge/mpid-hassanblend-v1-4-main2500,https://huggingface.co/tftgregrge/mpid-hassanblend-v1-4-main2500,text-to-image,multimodal
tipul/ppo-LunarLander-v2,https://huggingface.co/tipul/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
AxlDM124/ppo-LunarLander-v2-Jupyter,https://huggingface.co/AxlDM124/ppo-LunarLander-v2-Jupyter,reinforcement-learning,reinforcement-learning
aryanmadhavverma/sd-amv,https://huggingface.co/aryanmadhavverma/sd-amv,text-to-image,multimodal
akanametov/a2c-AntBulletEnv-v0,https://huggingface.co/akanametov/a2c-AntBulletEnv-v0,reinforcement-learning,reinforcement-learning
AxlDM124/ppo-LunarLander-v2-Jupyter2,https://huggingface.co/AxlDM124/ppo-LunarLander-v2-Jupyter2,reinforcement-learning,reinforcement-learning
jxiao/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/jxiao/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
jaybeeja/sd-class-butterflies-64,https://huggingface.co/jaybeeja/sd-class-butterflies-64,unconditional-image-generation,computer-vision
syx0/Syx0Blend_v1,https://huggingface.co/syx0/Syx0Blend_v1,text-to-image,multimodal
Bingsu/dacon_4dblock-maxvit_rmlp_tiny_rw_256,https://huggingface.co/Bingsu/dacon_4dblock-maxvit_rmlp_tiny_rw_256,image-classification,computer-vision
ArjunR/ppo-LunarLander-v2,https://huggingface.co/ArjunR/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
birajsth/Reinforce-CartPole-v1,https://huggingface.co/birajsth/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
pratap18/ppo_Lunar_Lander_agent_108,https://huggingface.co/pratap18/ppo_Lunar_Lander_agent_108,reinforcement-learning,reinforcement-learning
KeoooDev/andykeoo,https://huggingface.co/KeoooDev/andykeoo,text-to-image,multimodal
Thilinameths/thilinamethsahann,https://huggingface.co/Thilinameths/thilinamethsahann,text-to-image,multimodal
kumarkanth218/ppo-LunarLander-v2,https://huggingface.co/kumarkanth218/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
bdiptesh99/rl-ppo-moonlanding-v1,https://huggingface.co/bdiptesh99/rl-ppo-moonlanding-v1,reinforcement-learning,reinforcement-learning
Jzuluaga/accent-id-commonaccent_ecapa,https://huggingface.co/Jzuluaga/accent-id-commonaccent_ecapa,audio-classification,audio
Harri/Reinforce-CartPole-v1,https://huggingface.co/Harri/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
Bunkerj/Reinforce-base,https://huggingface.co/Bunkerj/Reinforce-base,reinforcement-learning,reinforcement-learning
jason1i/ppo-LunarLander-v2,https://huggingface.co/jason1i/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
Bunkerj/Reinforce-pixel-copter,https://huggingface.co/Bunkerj/Reinforce-pixel-copter,reinforcement-learning,reinforcement-learning
sliu/Reinforce-coper-2,https://huggingface.co/sliu/Reinforce-coper-2,reinforcement-learning,reinforcement-learning
cfalholt/PPO-LunarLanderV2,https://huggingface.co/cfalholt/PPO-LunarLanderV2,reinforcement-learning,reinforcement-learning
Bunkerj/Reinforce-PixelCopter-v2,https://huggingface.co/Bunkerj/Reinforce-PixelCopter-v2,reinforcement-learning,reinforcement-learning
marik0/Reinforce-CartPole-v1,https://huggingface.co/marik0/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
Waterboy96/ppo-LunarLander-v2,https://huggingface.co/Waterboy96/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
akanametov/ppo-LunarLander-v2,https://huggingface.co/akanametov/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
zzmez/Reinforce-model1,https://huggingface.co/zzmez/Reinforce-model1,reinforcement-learning,reinforcement-learning
akanametov/LunarLander-v2,https://huggingface.co/akanametov/LunarLander-v2,reinforcement-learning,reinforcement-learning
diffrxction/ppo-LunarLander-v2,https://huggingface.co/diffrxction/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
kumarkanth218/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/kumarkanth218/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
Ryukijano/ppo-Huggy,https://huggingface.co/Ryukijano/ppo-Huggy,reinforcement-learning,reinforcement-learning
gaokaobishuati/Reinforce-cart-pole1,https://huggingface.co/gaokaobishuati/Reinforce-cart-pole1,reinforcement-learning,reinforcement-learning
jovisaib/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/jovisaib/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
anurag-bit/Ai-avatar-Generator,https://huggingface.co/anurag-bit/Ai-avatar-Generator,text-to-image,multimodal
jovisaib/q-Taxi-v3,https://huggingface.co/jovisaib/q-Taxi-v3,reinforcement-learning,reinforcement-learning
cfalholt/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/cfalholt/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
kumarkanth218/q-Taxi-v3,https://huggingface.co/kumarkanth218/q-Taxi-v3,reinforcement-learning,reinforcement-learning
deliveroo/ppo-LunarLander-v2,https://huggingface.co/deliveroo/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
Waterboy96/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/Waterboy96/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
cfalholt/q-Taxi-v3,https://huggingface.co/cfalholt/q-Taxi-v3,reinforcement-learning,reinforcement-learning
Waterboy96/Taxi-v3,https://huggingface.co/Waterboy96/Taxi-v3,reinforcement-learning,reinforcement-learning
shorya24/avatar-generator,https://huggingface.co/shorya24/avatar-generator,text-to-image,multimodal
worsty/ppo-Huggy,https://huggingface.co/worsty/ppo-Huggy,reinforcement-learning,reinforcement-learning
mannilito/sarifeiger,https://huggingface.co/mannilito/sarifeiger,text-to-image,multimodal
diffrxction/ppo-LunarLander-v2-rerun,https://huggingface.co/diffrxction/ppo-LunarLander-v2-rerun,reinforcement-learning,reinforcement-learning
mikegarts/ppo-Huggy,https://huggingface.co/mikegarts/ppo-Huggy,reinforcement-learning,reinforcement-learning
sd99/Reinforce-CartPole-v1,https://huggingface.co/sd99/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
EduardoCGarridoMerchan/CartPole-test-v1,https://huggingface.co/EduardoCGarridoMerchan/CartPole-test-v1,reinforcement-learning,reinforcement-learning
jz01/Reinforce-cartpole,https://huggingface.co/jz01/Reinforce-cartpole,reinforcement-learning,reinforcement-learning
marik0/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/marik0/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
wxcvbnw/emhavrans,https://huggingface.co/wxcvbnw/emhavrans,text-to-image,multimodal
Falah/islamicdiffusion,https://huggingface.co/Falah/islamicdiffusion,text-to-image,multimodal
keyblade95/ppo-LunarLander-v2,https://huggingface.co/keyblade95/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
SIC98/ppo-LunarLander-v2,https://huggingface.co/SIC98/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
LinasKo/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/LinasKo/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
EduardoCGarridoMerchan/CartPole-v1,https://huggingface.co/EduardoCGarridoMerchan/CartPole-v1,reinforcement-learning,reinforcement-learning
pakuschj/janbrv170582,https://huggingface.co/pakuschj/janbrv170582,text-to-image,multimodal
00nakul/sd-lanakul,https://huggingface.co/00nakul/sd-lanakul,text-to-image,multimodal
newbie4000/Reinforce-CartPole-v1-base-model,https://huggingface.co/newbie4000/Reinforce-CartPole-v1-base-model,reinforcement-learning,reinforcement-learning
panaion/LunarLander-v2,https://huggingface.co/panaion/LunarLander-v2,reinforcement-learning,reinforcement-learning
parinzee/ppo-LunarLander-v2,https://huggingface.co/parinzee/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
tushar117/RL_ppo-Huggy,https://huggingface.co/tushar117/RL_ppo-Huggy,reinforcement-learning,reinforcement-learning
ThomasSimonini/ppo-SnowballTarget2,https://huggingface.co/ThomasSimonini/ppo-SnowballTarget2,reinforcement-learning,reinforcement-learning
Kon3000/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/Kon3000/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
xianbao/dashdash-toy,https://huggingface.co/xianbao/dashdash-toy,text-to-image,multimodal
AnAmbitiousMonk/ppo-LunarLander-v2,https://huggingface.co/AnAmbitiousMonk/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
ospeek/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/ospeek/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
Beegbrain/PPOLunar,https://huggingface.co/Beegbrain/PPOLunar,reinforcement-learning,reinforcement-learning
ospeek/Taxi-v3,https://huggingface.co/ospeek/Taxi-v3,reinforcement-learning,reinforcement-learning
malamasn/Reinforce-DRL,https://huggingface.co/malamasn/Reinforce-DRL,reinforcement-learning,reinforcement-learning
EduardoCGarridoMerchan/pixelCopter,https://huggingface.co/EduardoCGarridoMerchan/pixelCopter,reinforcement-learning,reinforcement-learning
Augt/rl_course_1,https://huggingface.co/Augt/rl_course_1,reinforcement-learning,reinforcement-learning
rodrigoegimenez/ppo-LunarLander-v2,https://huggingface.co/rodrigoegimenez/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
parinzee/ppo-LunarLander-v2-tweaked,https://huggingface.co/parinzee/ppo-LunarLander-v2-tweaked,reinforcement-learning,reinforcement-learning
blghtr/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/blghtr/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
blghtr/q-Taxi-v3,https://huggingface.co/blghtr/q-Taxi-v3,reinforcement-learning,reinforcement-learning
sd99/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/sd99/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
Beegbrain/ppo-Huggy,https://huggingface.co/Beegbrain/ppo-Huggy,reinforcement-learning,reinforcement-learning
malamasn/Reinforce-PixelCopter,https://huggingface.co/malamasn/Reinforce-PixelCopter,reinforcement-learning,reinforcement-learning
PawitK/ppo-LunarLander-v2,https://huggingface.co/PawitK/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
iikjl/ppo-lunarlander-v2-modded,https://huggingface.co/iikjl/ppo-lunarlander-v2-modded,reinforcement-learning,reinforcement-learning
bdiptesh99/ppo-Huggy,https://huggingface.co/bdiptesh99/ppo-Huggy,reinforcement-learning,reinforcement-learning
avoroshilov/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/avoroshilov/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
tomasz-fm/testp,https://huggingface.co/tomasz-fm/testp,image-classification,computer-vision
akgeni/Reinforce-v1,https://huggingface.co/akgeni/Reinforce-v1,reinforcement-learning,reinforcement-learning
4mosot/Reinforce-CartPole-v1,https://huggingface.co/4mosot/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
dimi1357/ppo-lunar-lander,https://huggingface.co/dimi1357/ppo-lunar-lander,reinforcement-learning,reinforcement-learning
akgeni/Reinforce-pixelcopter-v1,https://huggingface.co/akgeni/Reinforce-pixelcopter-v1,reinforcement-learning,reinforcement-learning
eicu/sks-jessy-2400,https://huggingface.co/eicu/sks-jessy-2400,text-to-image,multimodal
gauthamk28/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/gauthamk28/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
Brainergy/cccurrooo,https://huggingface.co/Brainergy/cccurrooo,text-to-image,multimodal
gauthamk28/q-Taxi-v3-v0,https://huggingface.co/gauthamk28/q-Taxi-v3-v0,reinforcement-learning,reinforcement-learning
newbie4000/pixelcopter-based-model,https://huggingface.co/newbie4000/pixelcopter-based-model,reinforcement-learning,reinforcement-learning
fapont/ppo-LunarLander-v2,https://huggingface.co/fapont/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
AkkyMa/MLAgents-Pyramids,https://huggingface.co/AkkyMa/MLAgents-Pyramids,reinforcement-learning,reinforcement-learning
MichalJ/q-FrozenLake-v1-8x8-noSlippery,https://huggingface.co/MichalJ/q-FrozenLake-v1-8x8-noSlippery,reinforcement-learning,reinforcement-learning
akgeni/Reinforce-pixelcopter-v2,https://huggingface.co/akgeni/Reinforce-pixelcopter-v2,reinforcement-learning,reinforcement-learning
chavicoski/Reinforce_CartPole-v1,https://huggingface.co/chavicoski/Reinforce_CartPole-v1,reinforcement-learning,reinforcement-learning
mktz/dqn-SpaceInvaderNoFrameskip-v4,https://huggingface.co/mktz/dqn-SpaceInvaderNoFrameskip-v4,reinforcement-learning,reinforcement-learning
mktz/Reinforce-unit4-1,https://huggingface.co/mktz/Reinforce-unit4-1,reinforcement-learning,reinforcement-learning
armargolis/Reinforce-CartPole_v1,https://huggingface.co/armargolis/Reinforce-CartPole_v1,reinforcement-learning,reinforcement-learning
redfungus/rl-course-lunarlander,https://huggingface.co/redfungus/rl-course-lunarlander,reinforcement-learning,reinforcement-learning
coreml/coreml-atitanstrawberry,https://huggingface.co/coreml/coreml-atitanstrawberry,text-to-image,multimodal
